Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Max Depth,Bottom Time,Min Water Temp,Gas Type,Surface Interval,Decompression,Weight,Current,Surface Conditions,Water Type
running,2018-03-26 07:14:53,false,"San Francisco Running","5.93","694","39:22","--","--","0.0","183","200","6:38","4:39","168","200","1.32","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-03-24 08:17:44,false,"San Francisco Running","12.02","1,398","1:20:01","--","--","0.0","181","219","6:40","3:39","415","455","1.34","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-03-23 08:38:10,false,"San Francisco Running","1.91","224","14:12","--","--","0.0","178","196","7:26","5:17","31","14","1.22","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-03-23 08:16:58,false,"San Francisco Running","2.55","244","17:55","--","--","0.0","164","248","7:02","3:32","35","29","1.33","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-03-23 07:18:38,false,"San Francisco Running","5.86","668","34:57","--","--","0.0","187","204","5:58","4:22","137","307","1.44","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-03-22 16:18:09,false,"San Francisco Running","7.48","877","49:16","--","--","0.0","182","209","6:35","4:31","268","295","1.34","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-03-22 08:11:07,false,"San Francisco Running","4.32","508","29:51","--","--","0.0","179","198","6:55","4:13","86","112","1.30","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-03-21 07:57:47,false,"San Francisco Running","8.14","956","56:20","--","--","0.0","180","209","6:55","3:01","310","331","1.29","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-03-20 08:23:38,false,"San Francisco Running","2.32","276","17:02","--","--","0.0","179","192","7:21","5:32","83","44","1.22","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-03-20 07:52:34,false,"San Francisco Running","3.45","349","24:21","--","--","0.0","142","219","7:03","3:57","16","24","1.50","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-03-20 07:14:31,false,"San Francisco Running","2.61","307","18:34","--","--","0.0","178","192","7:07","2:35","67","88","1.27","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-03-19 17:05:52,false,"San Francisco Running","5.14","605","35:56","--","--","0.0","181","198","6:59","5:46","103","140","1.27","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-03-19 07:18:32,false,"San Francisco Running","5.89","687","40:14","--","--","0.0","180","202","6:50","4:30","211","241","1.31","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-03-18 10:52:08,false,"San Francisco Running","13.43","1,578","1:32:28","--","--","0.0","179","244","6:53","4:23","693","929","1.30","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-03-17 12:49:56,false,"Sacramento Running","5.96","673","42:42","--","--","0.0","178","219","7:10","3:34","13","10","1.26","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-03-17 11:26:45,false,"Sacramento Running","2.45","287","17:30","--","--","0.0","177","198","7:09","6:28","12","9","1.27","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-03-16 10:06:22,false,"San Francisco Running","6.97","798","50:32","--","--","0.0","173","233","7:15","3:15","197","230","1.33","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-03-15 09:50:16,false,"San Francisco Running","7.64","880","50:36","--","--","0.0","181","213","6:38","3:45","459","472","1.34","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-03-14 09:56:52,false,"San Francisco Running","8.85","1,035","58:33","--","--","0.0","182","209","6:37","5:29","350","379","1.34","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-03-13 11:14:19,false,"San Francisco Running","1.69","200","13:18","--","--","0.0","180","194","7:52","7:05","86","34","1.14","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-03-13 10:35:10,false,"San Francisco Running","5.04","529","29:12","--","--","0.0","179","210","5:47","4:07","33","21","1.49","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-03-13 09:48:27,false,"San Francisco Running","2.60","303","18:30","--","--","0.0","180","192","7:08","6:10","62","91","1.25","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-03-12 16:49:25,false,"San Francisco Running","5.07","597","34:53","--","--","0.0","179","198","6:53","4:44","141","143","1.31","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-03-12 09:45:15,false,"San Francisco Running","6.89","800","45:26","--","--","0.0","181","196","6:36","4:48","272","284","1.35","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-03-10 08:39:45,false,"San Leandro Running","13.54","1,573","1:22:04","--","--","0.0","184","211","6:04","4:07","18","18","1.44","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-03-09 09:03:28,false,"San Francisco Running","1.74","206","13:14","--","--","0.0","176","187","7:36","6:52","12","43","1.21","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-03-09 08:35:05,false,"San Francisco Running","1.14","116","6:35.7","--","--","0.0","182","244","5:46","1:50","3","15","1.52","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
